epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,6670.29,0.04285,0.22307,0.89011,0.93124,0.84725,0.91993,0.91922,0.09889,0.58964,0.30209,0.0014151,0.0014151,0.0014151
63,6779.55,0.04151,0.22072,0.88979,0.92924,0.8512,0.92041,0.91972,0.10318,0.59009,0.30519,0.00128599,0.00128599,0.00128599
64,6887.67,0.04183,0.22554,0.88681,0.93131,0.84797,0.91979,0.91914,0.10415,0.59771,0.30687,0.00116268,0.00116268,0.00116268
65,6997.85,0.04037,0.21235,0.88777,0.93126,0.84859,0.92096,0.92008,0.10292,0.59299,0.30637,0.00104537,0.00104537,0.00104537
66,7107.63,0.04068,0.20924,0.88814,0.93123,0.84799,0.92114,0.92018,0.1024,0.58946,0.30603,0.000934225,0.000934225,0.000934225
67,7218.7,0.03902,0.20856,0.88984,0.93297,0.84794,0.92193,0.921,0.10125,0.58401,0.3048,0.000829431,0.000829431,0.000829431
68,7329.41,0.0384,0.20936,0.8904,0.93401,0.84945,0.92281,0.92193,0.10033,0.57653,0.30417,0.000731145,0.000731145,0.000731145
69,7442.33,0.03743,0.20489,0.88726,0.93362,0.85091,0.92283,0.922,0.10024,0.57673,0.30385,0.000639518,0.000639518,0.000639518
70,7547.65,inf,0.20406,0.88775,0.934,0.85165,0.92316,0.92232,0.09981,0.57433,0.30317,0.000554691,0.000554691,0.000554691
71,7667.14,0.02883,0.09748,0.90367,0.9343,0.85035,0.9228,0.92212,0.09551,0.57778,0.29943,0.000476796,0.000476796,0.000476796
72,7774.41,0.02161,0.06469,0.90004,0.93469,0.85018,0.92214,0.92148,0.09301,0.57901,0.29639,0.000405953,0.000405953,0.000405953
73,7879.05,inf,0.05958,0.89791,0.93336,0.85011,0.92121,0.92063,0.09049,0.57757,0.29309,0.00034227,0.00034227,0.00034227
74,7982.14,0.01994,0.056,0.897,0.93257,0.85012,0.921,0.92043,0.08833,0.57583,0.28979,0.000285847,0.000285847,0.000285847
75,8084.86,0.01914,0.0557,0.89682,0.93236,0.85093,0.92081,0.92028,0.08688,0.57499,0.28747,0.000236769,0.000236769,0.000236769
76,8187.7,0.01838,0.05478,0.89774,0.93108,0.85182,0.92068,0.9202,0.08591,0.57658,0.28599,0.000195113,0.000195113,0.000195113
77,8290.4,0.01797,0.05394,0.89532,0.93114,0.85209,0.92029,0.91983,0.08583,0.57813,0.28531,0.000160943,0.000160943,0.000160943
78,8392.55,0.01781,0.05377,0.89643,0.93146,0.85249,0.92053,0.92012,0.08632,0.58036,0.28545,0.000134311,0.000134311,0.000134311
79,8494.82,0.01828,0.05342,0.89574,0.93114,0.85357,0.92068,0.92032,0.08636,0.58154,0.28522,0.000115259,0.000115259,0.000115259
80,8597.36,0.01717,0.05029,0.89433,0.93137,0.85366,0.92088,0.92055,0.08641,0.58177,0.28497,0.000103816,0.000103816,0.000103816
